taxon	DE_content
O95793_dsRBD_DE3.4	3.45
Q22307_dsRBD_DE5.8	5.80
Q02555_dsRBD_DE6.2	6.25
Q08211_dsRBD_DE7.1	7.14
Q9NS39_dsRBD_DE7.4	7.41
O70133_dsRBD_DE7.7	7.69
O04492_dsRBD_DE7.8	7.81
Q9NUL3_dsRBD_DE8.2	8.20
Q5SUE7_dsRBD_DE9.1	9.09
P97473_dsRBD_DE9.4	9.38
P25159_dsRBD_DE9.7	9.68
Q9SP32_dsRBD_DE9.8	9.84
P0A7Y0_dsRBD_DE10.3	10.29
O04492_dsRBD_DE10.6	10.61
O75569_dsRBD_DE10.8	10.77
P55265_dsRBD_DE10.9	10.94
Q9D7B1_dsRBD_DE11.1	11.11
O95793_dsRBD_DE12.5	12.50
Q91WM1_dsRBD_DE14.5	14.52
Q9BWU0_dsRBD_DE18.8	18.84
