taxon	DE_content
Q8NG50_RRM_1_DE1.8	1.75
P13469_RRM_1_DE7.5	7.46
Q64707_RRM_1_DE9.1	9.09
P0C7P1_RRM_1_DE10.0	10.00
Q9FPJ8_RRM_1_DE10.4	10.45
Q61701_RRM_1_DE11.3	11.27
Q9ZQA8_RRM_1_DE11.6	11.59
O15047_RRM_1_DE12.3	12.31
P29341_RRM_1_DE12.9	12.86
Q9FXA2_RRM_1_DE13.2	13.24
Q9HCJ3_RRM_1_DE13.8	13.85
Q86U06_RRM_1_DE14.3	14.29
O04425_RRM_1_DE14.9	14.93
P60824_RRM_1_DE15.5	15.49
Q9XFR5_RRM_1_DE15.9	15.87
Q8VE97_RRM_1_DE16.7	16.67
Q9HCJ3_RRM_1_DE17.6	17.65
Q8BGC0_RRM_1_DE19.2	19.23
Q8VYA5_RRM_1_DE21.0	20.97
P92966_RRM_1_DE25.9	25.86
