taxon	DE_content
P58223_KH_1_DE3.8	3.85
A0A0B4KGY6_KH_1_DE6.1	6.06
Q9JKN6_KH_1_DE6.7	6.67
O00425_KH_1_DE7.8	7.81
P38199_KH_1_DE7.9	7.94
Q8W4B1_KH_1_DE8.8	8.82
Q9PW80_KH_1_DE9.2	9.23
Q61990_KH_1_DE9.7	9.68
P58223_KH_1_DE10.2	10.17
Q9NZI8_KH_1_DE10.8	10.77
Q3UE17_KH_1_DE11.5	11.48
Q8K1R3_KH_1_DE12.1	12.07
Q9Y6M1_KH_1_DE12.3	12.31
A1L020_KH_1_DE13.1	13.11
F4KDN0_KH_1_DE13.2	13.21
O88477_KH_1_DE13.8	13.85
Q00341_KH_1_DE14.8	14.75
P51116_KH_1_DE15.3	15.25
P35922_KH_1_DE17.0	17.02
P05055_KH_1_DE20.3	20.34
